albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.6383890078754632,1.4230410460613522e-115,,2.599299570495478e-191,,,,,0.762979674979675
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,100,,,,0.7955193210254247,2.278777827960104e-219,,2.821101005639628e-199,-0.6869655000625035,1.5536410936424023e-140,0.12318185112208083,0.2799833099780595,0.7727909327909328,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,30,,,,0.7563709618563982,3.6686904437530365e-186,,1.0544121707537216e-182,,,0.12318185112208083,0.2799833099780595,0.7518102438102439,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,30,,,,0.7565174207782412,2.8325675431649384e-186,,8.9900720248693e-183,-0.7486167823599784,2.5124477821108874e-180,0.3945165792007619,0.51577710709275,0.751902547902548,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,50,,,,0.7545226535566154,9.447031786153984e-185,,1.985526912249699e-183,,,0.3945165792007619,0.51577710709275,0.7527748047748049,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,50,,,,0.754634715961697,7.764588370602578e-185,,1.799586358988218e-183,-0.7237159805960163,5.959627783806298e-163,0.24420508045497735,0.3870834586618662,0.7528314688314689,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,100,,,,0.7868117528190411,2.219810559790379e-211,,2.801707653528347e-193,,,0.24420508045497735,0.3870834586618662,0.7654487014487015,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,100,,,,0.7867755571110198,2.391865837419043e-211,,3.9150908818776924e-193,-0.8726629944708011,6.18016285827e-313,0.13448166117391647,0.28918551689409827,0.7652673692673693,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,30,,,,0.756379290636623,3.615140804074722e-186,,5.744877032807262e-183,,,0.13448166117391647,0.28918551689409827,0.7521615681615682,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,30,,,,0.7564611342561384,3.128673584852356e-186,,5.407404597199904e-183,-0.5848761627223404,7.992830329893702e-93,0.29208111598243647,0.4390974000417523,0.7521965601965602,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,50,,,,0.7544644978536379,1.0458767274153278e-184,,1.5920398489999969e-183,,,0.29208111598243647,0.4390974000417523,0.752902064902065,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,50,,,,0.7545307068035685,9.314847758935586e-185,,1.5074959382990541e-183,-0.7108749119131385,1.0180349715954097e-154,0.21140737424600975,0.36128150149715343,0.752933492933493,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,100,,,,0.7870197457118671,1.4450786330843738e-211,,9.996757138068955e-194,,,0.21140737424600975,0.36128150149715343,0.76600615000615,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,100,,,,0.7870083858352699,1.4793766725912093e-211,,1.1188624873089607e-193,-0.6999456006662671,4.641164810757227e-148,0.2062893354764789,0.355742383800974,0.765945297945298,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,30,,,,0.756259082563163,4.469575415534452e-186,,7.69255875427922e-183,,,0.2062893354764789,0.355742383800974,0.7519927399927401,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,30,,,,0.7562525833163106,4.521124804478548e-186,,7.686976059308355e-183,-0.426562481119128,1.762083688956981e-45,0.2375342595066201,0.3957384563466457,0.75199315999316,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,50,,,,0.7544037997667417,1.1630115794955885e-184,,1.730629056259891e-183,,,0.2375342595066201,0.3957384563466457,0.7528539808539809,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,50,,,,0.7543951345959036,1.1807681021482968e-184,,1.721282317489241e-183,-0.6571738224904826,1.1235557389200095e-124,0.19303189805610277,0.34527185080063205,0.7528571008571009,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,100,,,,0.7871873938137505,1.0220582070295329e-211,,4.290102754322712e-194,,,0.19303189805610277,0.34527185080063205,0.7664625824625825,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,100,,,,0.7871725422475816,1.053916326333422e-211,,4.3630259304489455e-194,-0.6650627962724929,1.0702054434123276e-128,0.17460292450342912,0.32987351520032476,0.7664534984534985,True
